1/mu upperbound_of_lambda_1^2
1.0 -2.43144161522753207359301406032837132203782266384445007680620537082997517885007944606258925344526054495571966062428158089905290
3047893524125509501264817614280515715863521012350603500844669375339987364455648999781953741137012105382460286739145805590295931728938094366708797910035613568760432304402975929804358167
0.909090909 -2.142665225566694608559405110273710739681725932112457971707576911717923984979810834113982438196895643717454211126060510598023607527597229604675289021644427698808837770568871450763058820166649482664665240800628167546756640068474093528398169916938762085918864355629085557510922861529320943189993406957508302880164
0.833333333 -1.801638610410405855970904679348159704656210504423252925696730169128005978493966048893168554817848614456466510311249954141326116279937784587132170058951403679920829637398487920770897791276064367783309647786985142517143360315148191496973166631429906060414882165589179304349293517160859461272324219743239357278972
0.769230769 -1.543705396340833914395459579236085310831706768689018844340968738915677465907303470273117450512546766029073001197468141450931324248216888799799988600506310801785470145217448557103156260488282672907490075721027921423950373766471143093447405174998946092062941223189142150343048687141934303225678247949657341989364
0.666666667 -1.131594219467864457876953350816730448435469323130198024707790262526234076939805357889639576067406337784163326572271371461879162972576785530639055753510518325070612220057199308389575792471627371767165684822608863094750187687891978552253044132182025309136587813256391809068182895794874308983154283342424510689383
0.588235294 -0.8880956736414159419632538742912780838398809929768670349369414349584929231245391501940721250017416418829166251129114950213082233693026784373198837856991122468264045750893896985807343331028294484898107785068398337795984506910592113081477367538696088255116577523393174294332556048721041679643164437598274637110456
0.5 -0.6198157095756848119497551286369443866711948774596230777788662038030249674500979482691291965030160610189585817993014040805901327993968965916467478593649829794681759803600840904445685556294275798304780281712786999936405960874063862490190653243873907182692319971183092460781990363127710407936545612763583136992397
0.333333333 -0.2818133598033829909588209969442113965605016335185835994190314109292901114915313394596712953245587936866249651825765580893952487865246650637435744821685714114860736215570166809300374566515018049779040428906257191887156042328680224379610826429806364659567768856635691085862171153267608531871767479978404032062039
0.25 -0.154119333872468326404736449238692304533671926305298990471972658245023350240811204202275259343336572210308177092298164007835718979609364046515707713985100516584787452700241502600266443416614761231952849046427568370979933824821742833565369413002829849340368273369556320534131393888260934631157118373082510284796
0.2 -0.09769293974598874193096959204399502909136647160448954508120143636858640629289281389609754673647686773831387047773426404591470009830470411166691413304294467434565583577168653370981687065174850350169794735832038132771707366020398890927211485031225775686763637232811904587712716662926619023965550521053296854313284
0.142857143 -0.04929425961587323215140302708825015349054655340389886378609880613669113066887907654237357681312864446653427014156643073696117990344397063729406951917275902284096842061933323318044653844703592004234168443889786865716328619123649847917034702923282258896022868983023485907032103581757739270278202044421982281879717
0.1 -0.02359546367017024003318189055787834650771248630333971031019635155802835939886655438990765343939138441442649426964034629644269396503967776477556811868375046980535697558033324185598252807848313344922444329739937633366334430119984797294582763744032244115954196894735348972546710808483403667609850463818654779693462
